captured_at,slug,condition_id,title,market_end_time,seconds_to_close,up_token_id,down_token_id,up_best_bid,up_best_bid_size,up_best_ask,up_best_ask_size,down_best_bid,down_best_bid_size,down_best_ask,down_best_ask_size
2026-05-18T13:51:52.758375+00:00,btc-updown-5m-1779112200,0xd3e325007c6a94f0e1b597683931a39f5968e05ce2e4f86f7ff8e86c9f440a86,"Bitcoin Up or Down - May 18, 9:50AM-9:55AM ET",2026-05-18T13:55:00+00:00,187,14351411727222566587144877801557826031628530147732994933174913118178804704978,62009811697833338590365893072715059852559689365262758252132789117642023254465,0.64,93.52,0.65,427.66,0.35,622.74,0.37,67.96
2026-05-18T13:51:55.702358+00:00,btc-updown-5m-1779112200,0xd3e325007c6a94f0e1b597683931a39f5968e05ce2e4f86f7ff8e86c9f440a86,"Bitcoin Up or Down - May 18, 9:50AM-9:55AM ET",2026-05-18T13:55:00+00:00,184,14351411727222566587144877801557826031628530147732994933174913118178804704978,62009811697833338590365893072715059852559689365262758252132789117642023254465,0.61,5.0,0.62,525.71,0.38,672.05,0.39,173.0
2026-05-18T13:52:28.600875+00:00,btc-updown-5m-1779112200,0xd3e325007c6a94f0e1b597683931a39f5968e05ce2e4f86f7ff8e86c9f440a86,"Bitcoin Up or Down - May 18, 9:50AM-9:55AM ET",2026-05-18T13:55:00+00:00,151,14351411727222566587144877801557826031628530147732994933174913118178804704978,62009811697833338590365893072715059852559689365262758252132789117642023254465,0.8,658.88,0.81,61.22,0.18,117.07,0.2,571.58
2026-05-18T14:16:49.324360+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,190,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.76,372.1,0.77,328.27,0.23,143.04,0.24,675.01
2026-05-18T14:16:58.636600+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,181,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.74,156.47,0.75,997.03,0.27,176.64,0.28,85.32
2026-05-18T14:17:05.999883+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,174,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.67,117.5,0.69,746.96,0.32,822.42,0.33,109.13
2026-05-18T14:17:12.515360+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,167,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.67,1019.56,0.68,10.16,0.28,61.5,0.29,30.0
2026-05-18T14:17:19.617884+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,160,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.73,519.54,0.75,44.0,0.25,162.24,0.26,758.06
2026-05-18T14:17:24.119247+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,155,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.71,512.23,0.72,53.0,0.26,13.65,0.27,730.67
2026-05-18T14:17:32.030210+00:00,btc-updown-5m-1779113700,0xdf9984bfba2fe3f7a5f6aaec3e937a5cdb1b9130cbc649d7c8342ca68d0c4422,"Bitcoin Up or Down - May 18, 10:15AM-10:20AM ET",2026-05-18T14:20:00+00:00,147,86182973015662787673401058924673496062270019004374375664701599503076840911358,113855561987752292825504598868870740346566389302701895552972164126203292494322,0.69,35.0,0.7,41.0,0.28,93.24,0.29,529.59
